code_fu,name_fu,code_machealth,name_machealth,code_hr,name_hr,code_mun_7,code_mun_6,name_mun,name_region,braz_dep,decile_braz_dep_d,quintile_braz_dep_d,pop_2010,pct_pop_white,pop_white,pct_pop_raca_preta,pop_black,pct_pop_yellow,pop_yellow,pct_pop_brown,pop_brown,pct_pop_indigen,pop_indigen,pct_pop_whitout_declaration,pop_whitout_declaration,pct_male_pop,male_pop,pct_female_pop,female_pop,pct_pop_urban,pop_urban,pct_pop_rural,pop_rural,pct_pop_under_60,pop_under_60,pct_pop_60_older,pop_60_older,pop_sbag,occupied_house,occupied_house_snag,pct_occupied_house_snag,gdp_br_million,gdp_per_capita,illiteracy_rate,illiteracy_rate_women,years_study,unemployment_rate,poverty_rate,extreme_poverty_rate,pct_pop_bathroom_water,pct_pop_garbage_collection,pct_pop_electricity,pct_house_density_2,pop_2020,pct_pop_estimate_under_60_2020,pop_estimate_under_60_2020,pct_pop_60_older_2020,pop_60_older_2020,pct_female_pop_2020,female_pop_2020,pct_male_pop_2020,male_pop_2020,pop_elderly_poverty,rate_elderly_poverty,icu_beds_t0,rate_icu_beds_t0,icu_beds_t1,rate_icu_beds_t1,icu_beds_t2,rate_icu_beds_t2,icu_beds_t3,rate_icu_beds_t3,icu_beds_t4,rate_icu_beds_t4,num_ventilators_t0,rate_ventilators_t0,num_ventilators_t1,rate_ventilators_t1,num_ventilators_t2,rate_ventilators_t2,num_ventilators_t3,rate_ventilators_t3,num_ventilators_t4,rate_ventilators_t4
23,Ceará,2306,5ª MACRO - LITORAL LESTE/JAGUARIBE,23007,7ª Região Aracati,2301109,230110,Aracati,Região Nordeste,0.67652255,9,5,69159,29.63,20489,5.39,3731,0.86,595,64.03,44281,0.09,63,0,0,49.37,34147,50.63,35012,63.67,44035,36.33,25124,89.01,61558,10.99,7602,74547,1127,20882,5.4,577.081,8.34426498413086,19.3,17.2,10.39,10.03,31.68,14.18,64.18,93.54,98.82,27.5,74602.08,86.96,64875.77,13.04,9726.3,50.77,37876.92,49.23,36725.16,2387,31.407,0,0,0,0.77,0,4.61,10,8.49,0,1.54,6,4.8,14,10.89,18,14.99,30,24.54,30,26.06
23,Ceará,2306,5ª MACRO - LITORAL LESTE/JAGUARIBE,23010,10ª Região Limoeiro do Norte,2307601,230760,Limoeiro do Norte,Região Nordeste,0.1949266,9,5,56264,46.79,26326,6.26,3523,1.24,698,45.67,25694,0.04,23,0,0,49.01,27577,50.99,28687,57.73,32483,42.27,23781,89.13,50142,10.89,6122,59540,614,17800,3.45,505.778,8.98937129974365,18.8,14.6,9.52,9.02,21.09,7.98,92.31,96.36,99.79,20.86,60392.05,86.51,52244.25,13.49,8147.8,51.45,31071.38,48.55,29320.67,994,16.242,0,0,10,4.33,60,25.96,40,18.38,20,8.65,9,5.53,19,11.79,29,18.49,39,26.75,54,35.24
23,Ceará,2307,4ª MACRO - SERTAO CENTRAL,23008,8ª Região Quixadá,2311306,231130,Quixadá,Região Nordeste,0.62847418,9,5,80604,29.17,23514,5.79,4670,1.74,1403,63.26,50989,0.03,28,0,0,49.34,39769,50.66,40835,71.32,57485,28.68,23119,88.37,71234,11.64,9371,87728,253,24604,1.03,576.334,7.15019083023071,20.9,16.8,9.69,8.36,36.21,17.65,63.66,91.26,99.39,35.42,89005.94,87.17,77588.09,12.83,11417.84,50.68,45106.74,49.32,43899.2,2489,26.561,0,4.64,0,11.99,10,22,21,20.22,10,11.85,16,19.81,31,30.44,30,30.85,33,35.02,33,32.74
23,Ceará,2307,4ª MACRO - SERTAO CENTRAL,23008,8ª Região Quixadá,2311405,231140,Quixeramobim,Região Nordeste,0.7510134,9,5,71887,28.64,20587,6.21,4462,2,1437,63.02,45302,0.14,99,0,0,49.7,35729,50.3,36158,60.41,43424,39.59,28463,87.63,62991,12.38,8897,81082,,24719,,456.018,6.34353923797607,23.3,17.7,9.35,6.42,38.37,19.57,71.91,89.83,99.07,29.93,82759.02,86.3,71423.03,13.7,11335.99,50.94,42155.28,49.06,40603.74,2327,26.153,30,12.96,50,29.14,76,44.39,40,29.03,30,19.41,77,38.33,99,51.59,99,52.96,116,61.44,101,54.88
23,Ceará,2308,3ª MACRO - CARIRI,23020,20ª Região Crato,2304202,230420,Crato,Região Nordeste,-0.019185001,8,4,121428,31.11,37773,8.03,9753,1.09,1325,59.67,72455,0.1,122,0,0,47.45,57616,52.55,63812,83.11,100916,16.89,20512,88.98,108046,11.03,13382,132123,5603,38383,14.6,985.41,8.11517906188965,13.9,12.9,10.47,8.62,24.54,8.61,83.8,92.23,99.7,34.3,134165.93,87.15,116925.11,12.85,17240.82,52.62,70599.66,47.38,63566.27,3118,23.302,35,20.51,50,36.13,50,38.56,66,44.12,56,35.52,44,30.7,47,32.21,47,33.6,48,43.1,48,52.71
23,Ceará,2308,3ª MACRO - CARIRI,23021,21ª Região Juazeiro do Norte,2307304,230730,Juazeiro do Norte,Região Nordeste,-0.079789706,8,4,249939,33.37,83413,4.75,11867,1.04,2588,60.7,151711,0.14,355,0,5,47.35,118353,52.65,131586,96.07,240128,3.93,9811,89.57,223858,10.43,26081,274207,2741,89300,3.07,2151.335,8.60743999481201,15.7,15.4,10.14,9.59,23.43,6.73,90.63,95.76,99.58,40.05,282657.36,88.54,250253.65,11.46,32403.7,52.68,148891.8,47.32,133765.56,7287,27.939,56,24.66,126,51.88,123,54.54,92,50.31,60,36.62,95,41.52,107,44.58,103,45.69,173,70.17,269,98.83
23,Ceará,2308,3ª MACRO - CARIRI,23021,21ª Região Juazeiro do Norte,2301901,230190,Barbalha,Região Nordeste,0.46551466,9,5,55323,23.36,12926,6.96,3850,1.73,958,67.77,37494,0.16,91,0.01,4,48.63,26904,51.37,28419,68.73,38022,31.27,17301,89.05,49271,10.93,6052,60781,2521,18164,13.88,464.715,8.40003299713135,17.6,16.7,10.4,9.89,28.35,10,79.86,92.34,99.84,36.66,61866.36,87.79,54314.57,12.21,7551.79,51.68,31971.86,48.32,29894.5,1414,23.366,35,20.11,65,39.03,85,46.74,95,51.26,75,40.29,47,30.75,47,31.41,47,32.82,61,45.31,61,54.45
23,Ceará,2308,3ª MACRO - CARIRI,23018,18ª Região Iguatú,2305506,230550,Iguatu,Região Nordeste,0.40507436,9,5,96495,37.68,36356,3.63,3503,0.58,555,58.06,56023,0.06,58,0,0,48.11,46425,51.89,50070,77.34,74627,22.66,21868,87.22,84164,12.79,12331,102498,30,33468,0.09,884.474,9.16600894927979,22.2,19,9.49,6.82,24.31,10.86,83.52,96.32,99.83,29.73,103610.39,85.16,88239.31,14.84,15371.08,52.31,54201.2,47.69,49409.19,2888,23.422,6,4.11,30,15.43,36,18.53,56,28.09,36,19.05,35,17.38,27,13.99,35,18.11,47,24.73,47,25.62
23,Ceará,2309,2ª MACRO - SOBRAL,23011,11ª Região Sobral,2312908,231290,Sobral,Região Nordeste,-0.17904188,8,4,188233,28.62,53876,5.88,11075,1.79,3368,63.61,119736,0.09,178,0,0,48.59,91462,51.41,96771,88.35,166310,11.65,21923,91.22,171676,8.8,16557,208935,2034,64714,3.14,2553.785,13.5671482086182,16.4,16.4,10.66,7.53,25.2,8.9,88.02,95.61,99.53,38.22,218694.1,89.99,196813.17,10.01,21880.93,51.45,112518.23,48.55,106175.87,5136,31.02,123,31.06,246,64.79,252,66.68,188,52.2,163,41.64,184,48.27,292,78.12,342,90.83,331,91.85,342,94.85
23,Ceará,2309,2ª MACRO - SOBRAL,23015,15ª Região Crateús,2304103,230410,Crateús,Região Nordeste,0.67312157,9,5,72812,32.33,23541,3.97,2890,1.3,943,61.56,44825,0.84,613,0,0,48.77,35509,51.23,37303,72.3,52644,27.7,20168,86.09,62675,13.94,10137,75074,186,23665,0.79,379.567,5.21297311782837,24.5,21.7,9.25,9.94,37.07,19.44,70.93,85.34,99.44,32.04,70911.22,83.31,59077.86,16.69,11833.36,51.39,36440.59,48.61,34470.62,2910,28.705,12,7.61,22,15.44,22,15.75,52,28.82,12,8.63,11,9.02,26,18.67,26,19.67,26,20.89,26,21.19
